ID,ID_DET_DEMONSTRATIVO_REFERENCIA,PADRAO_CTACTB,SINAL
45896,5,2.1.01.02.001128,-1
45897,5,2.1.01.02.001571,-1
45898,5,2.1.01.02.001066,-1
45899,5,2.1.01.02.001639,-1
45900,5,2.1.01.02.001270,-1
45901,5,2.1.01.02.001758,-1
45902,5,2.1.01.02.001665,-1
45903,5,2.1.01.02.001892,-1
45904,5,2.1.01.02.001830,-1
45905,5,2.1.01.02.002071,-1
45906,5,2.1.01.02.002079,-1
45907,5,2.1.01.02.001989,-1
45908,5,2.1.01.02.002027,-1
45909,5,2.1.01.02.002033,-1
45910,5,2.1.01.02.001977,-1
45911,5,2.1.01.02.002122,-1
45912,5,2.1.01.02.001424,-1
45913,5,2.1.01.02.001252,-1
45914,5,2.1.01.02.000380,-1
45915,5,2.1.01.02.001122,-1
45916,5,2.1.01.02.001251,-1
45917,5,2.1.01.02.001359,-1
45918,5,2.1.01.02.001292,-1
45919,5,2.1.01.02.001481,-1
45920,5,2.1.01.02.000399,-1
45921,5,2.1.01.02.001587,-1
45922,5,2.1.01.02.001685,-1
45923,5,2.1.01.02.001767,-1
45924,5,2.1.01.02.001389,-1
45925,5,2.1.01.02.001436,-1
45926,5,2.1.01.02.001699,-1
45927,5,2.1.01.02.001783,-1
45928,5,2.1.01.02.001701,-1
45929,5,2.1.01.02.002004,-1
45930,5,2.1.01.02.002092,-1
45931,5,2.1.01.02.002049,-1
45932,5,2.1.01.02.002069,-1
45933,5,2.1.01.02.001034,-1
45934,5,2.1.01.02.001014,-1
45935,5,2.1.01.02.000664,-1
45936,5,2.1.01.02.000429,-1
45937,5,2.1.01.02.000946,-1
45938,5,2.1.01.02.000984,-1
45939,5,2.1.01.02.001178,-1
45940,5,2.1.01.02.000607,-1
45941,5,2.1.01.02.001261,-1
45942,5,2.1.01.02.001368,-1
45943,5,2.1.01.02.000769,-1
45944,5,2.1.01.02.001355,-1
45945,5,2.1.01.02.000808,-1
45946,5,2.1.01.02.000062,-1
45947,5,2.1.01.02.000786,-1
45948,5,2.1.01.02.001832,-1
45949,5,2.1.01.02.000544,-1
45950,5,2.1.01.02.001894,-1
45951,5,2.1.01.02.000890,-1
45952,5,2.1.01.02.001282,-1
45953,5,2.1.01.02.001268,-1
45954,5,2.1.01.02.001164,-1
45955,5,2.1.01.02.000986,-1
45956,5,2.1.01.02.000988,-1
45957,5,2.1.01.02.000792,-1
45958,5,2.1.01.02.000929,-1
45959,5,2.1.01.02.000924,-1
45960,5,2.1.01.02.000280,-1
45961,5,2.1.01.02.000947,-1
45962,5,2.1.01.02.000738,-1
45963,5,2.1.01.02.000561,-1
45964,5,2.1.01.02.001302,-1
45965,5,2.1.01.02.000419,-1
45966,5,2.1.01.02.001674,-1
45967,5,2.1.01.02.000463,-1
45968,5,2.1.01.02.001769,-1
45969,5,2.1.01.02.001430,-1
45970,5,2.1.01.02.001595,-1
45971,5,2.1.01.02.000875,-1
45972,5,2.1.01.02.001676,-1
45973,5,2.1.01.02.000333,-1
45974,5,2.1.01.02.000265,-1
45975,5,2.1.01.02.001963,-1
45976,5,2.1.01.02.002067,-1
45977,5,2.1.01.02.001908,-1
45978,5,2.1.01.02.000116,-1
45979,5,2.1.01.02.000707,-1
45980,5,2.1.01.02.000090,-1
45981,5,2.1.01.02.000554,-1
45982,5,2.1.01.02.000957,-1
45983,5,2.1.01.02.001241,-1
45984,5,2.1.01.02.000782,-1
45985,5,2.1.01.02.000353,-1
45986,5,2.1.01.02.001675,-1
45987,5,2.1.01.02.001296,-1
45988,5,2.1.01.02.001649,-1
45989,5,2.1.01.02.001564,-1
45990,5,2.1.01.02.001666,-1
45991,5,2.1.01.02.001616,-1
45992,5,2.1.01.02.001752,-1
45993,5,2.1.01.02.002098,-1
45994,5,2.1.01.02.002058,-1
45995,5,2.1.01.02.001797,-1
45996,5,2.1.01.02.001866,-1
45997,5,2.1.01.02.002023,-1
45998,5,2.1.01.02.002061,-1
45999,5,2.1.01.02.000078,-1
46000,5,2.1.01.02.000376,-1
46001,5,2.1.01.02.000989,-1
46002,5,2.1.01.02.000876,-1
46003,5,2.1.01.02.001121,-1
46004,5,2.1.01.02.001319,-1
46005,5,2.1.01.02.000833,-1
46006,5,2.1.01.02.001405,-1
46007,5,2.1.01.02.001120,-1
46008,5,2.1.01.02.001374,-1
46009,5,2.1.01.02.001222,-1
46010,5,2.1.01.02.001351,-1
46011,5,2.1.01.02.000518,-1
46012,5,2.1.01.02.001443,-1
46013,5,2.1.01.02.001448,-1
46014,5,2.1.01.02.000846,-1
46015,5,2.1.01.02.000368,-1
46016,5,2.1.01.02.001840,-1
46017,5,2.1.01.02.001641,-1
46018,5,2.1.01.02.001865,-1
