MES,ID_EMPRESA,ID_CONTA_CONTABIL,BP_TECWAY
01/2024,7,4.1.02.02.000003,0.0
01/2024,7,4.1.02.02.000005,0.0
01/2024,7,4.1.02.02.000006,0.0
01/2024,7,4.1.02.02.000007,0.2
01/2024,7,4.1.02.02.000008,0.0
01/2024,7,4.1.02.03.000001,0.0
01/2024,7,4.1.02.03.000004,1.935
01/2024,7,4.1.02.03.000005,0.0
01/2024,7,4.1.02.03.000006,0.4
01/2024,7,4.1.02.03.000009,3.8142
01/2024,7,4.1.02.03.000010,3.8353
01/2024,7,4.1.02.03.000013,0.0
01/2024,7,4.1.02.04.000003,0.0
01/2024,7,4.1.02.04.000004,0.0
01/2024,7,4.1.02.05.000001,0.429
01/2024,7,4.1.02.05.000002,0.37845
01/2024,7,4.1.02.05.000003,0.0
01/2024,7,4.1.02.05.000004,0.0
01/2024,7,4.1.02.05.000005,0.0
01/2024,7,4.1.02.05.000006,645.63156
01/2024,7,4.1.02.05.000007,0.0
01/2024,7,4.1.02.05.000009,0.06321
01/2024,7,4.1.02.05.000010,4.4786
01/2024,7,4.1.02.06.000001,0.85
01/2024,7,4.1.02.06.000004,0.0
01/2024,7,4.1.02.07.000003,4.07027
01/2024,7,4.1.02.07.000004,0.14025
01/2024,7,4.1.02.07.000006,0.0
01/2024,7,4.1.02.07.000007,0.0
01/2024,7,4.1.02.07.000010,1.1067
01/2024,7,4.1.02.07.000016,12.22301
01/2024,7,4.1.02.08.000001,0.0
01/2024,7,4.1.02.08.000002,0.35
01/2024,7,4.1.02.08.000005,2.23725
01/2024,7,5.1.01.04.000002,0.0
01/2024,7,5.1.01.04.000003,0.0
01/2024,7,5.1.01.05.000005,0.0
01/2024,7,5.1.01.05.000009,0.0
01/2024,7,5.1.01.07.000007,0.0
01/2024,7,5.1.01.07.000010,0.0
01/2024,7,5.1.01.07.000015,0.2
01/2024,7,5.1.01.07.000021,0.0
01/2024,7,5.1.01.09.000003,0.0
01/2024,7,5.1.01.09.000008,0.0
